west_calender_yr,いも類,その他畜産物,乳用牛,加工農産物,工芸農作物,果実,生産農業所得,畜産計,米,耕種計,肉用牛,花き,豚,野菜,雑穀・豆類,養蚕,鶏,麦類,種苗苗木_new,農業産出額_New
1987,836,182,5269,2136,4196,1753,30172,14359,32128,62519,1771,1706,2329,18439,1418,110,4808,293,1750,79124
1988,826,91,5193,2219,4313,1682,34039,14431,30679,63571,2025,2038,2440,20972,1257,129,4682,275,1568,80365
1989,820,216,5096,2496,3882,1704,33492,14425,27975,60283,1807,1408,2415,21421,1348,135,4891,228,1497,77339
1990,822,177,4870,2680,3881,1641,33128,14396,28964,62013,1671,1325,1855,22253,1355,87,5823,179,1593,79175
1991,836,326,4704,2527,3617,1667,35763,15138,28721,64651,1612,1681,2078,24699,1716,90,6418,157,1557,82406
1992,970,278,4601,2896,4085,1807,37246,13649,30925,67456,1562,1642,1850,24396,1713,75,5358,174,1744,84076
1993,1147,256,4320,2821,4125,1555,39349,12347,30967,70586,1363,1606,1610,27755,1648,60,4798,119,1664,85814
1994,1025,236,4324,2626,3832,1640,37195,12235,36839,71715,1305,1982,1608,23709,1147,33,4762,42,1499,86609
1995,1054,108,4157,2931,3949,1426,34912,11860,31313,65256,1217,1972,1996,22431,1468,20,4382,37,1606,80067
1996,1159,109,4138,3510,4740,1571,35649,11290,29642,65325,1328,1960,1118,22961,1555,16,4597,51,1686,80141
1997,1030,120,4100,3500,4750,1740,35030,11420,26790,63740,1470,2180,1000,24750,1130,20,4730,50,1320,78660
1998,1020,100,4220,3370,4390,2020,32610,11210,23740,61910,1470,2190,990,26280,900,10,4420,70,1300,76500
1999,960,160,4050,3580,4710,2040,33910,11510,24220,61690,1580,2130,1050,25210,1060,10,4680,80,1300,76790
2000,950,150,4100,3500,4570,1940,32650,11640,23440,58920,1460,1740,1080,23810,1250,0,4840,90,1140,74060
2001,1000,200,3900,3100,4100,1900,32300,11400,22800,58900,1300,1700,1200,25200,1000,0,4900,100,1100,73500
2002,1000,200,3800,3400,4500,1900,32200,12300,22200,59800,1700,1900,1300,26200,1000,0,5300,100,1100,75500
2003,1000,300,4000,3700,4700,1900,32400,11400,22900,60100,1500,1900,1100,25800,700,0,4500,100,1100,75200
2004,1000,200,3900,3600,4800,1900,31000,11600,21300,58600,1500,1900,1300,26300,500,0,4700,100,1100,73900
2005,900,200,3800,3800,4900,1900,27500,12500,20300,57100,1800,1800,1300,25000,1100,0,5500,0,1100,73300
2006,900,200,3800,3500,4600,1900,25400,12300,19100,55200,1600,1700,1200,24800,1000,0,5500,0,1100,71000
2007,700,200,4000,3600,4700,1900,23900,12500,18800,54300,1600,1300,1000,25200,800,0,5700,0,900,70300
2008,700,200,3900,3300,4600,1600,0,12800,19800,54400,1600,1200,1000,24300,1100,0,6100,0,900,70500
2009,700,200,4100,3400,4700,1600,20400,12700,17800,51900,1500,1100,1100,24100,900,0,5900,0,1000,68100
2010,600,100,3900,3100,4100,1600,22000,12300,17400,51400,1400,1200,1100,25000,700,0,5800,0,900,66900
2011,700,100,3700,3500,4700,1500,24200,13100,18900,53300,1500,1200,1100,24800,600,0,6700,0,800,69900
2012,600,100,3700,3700,4800,1500,25700,13800,20600,54400,1700,1200,1100,23900,900,0,7100,0,800,71800
2013,600,100,3600,3200,4200,1400,25300,13400,18500,52900,1700,1200,1100,25600,600,0,6900,0,700,69600
2014,600,100,3700,3300,3900,1600,24300,14100,15000,48900,1700,1200,1200,25400,600,0,7400,0,600,66300
2015,900,100,3800,3800,4600,1700,26800,15200,15900,52900,1900,1300,1200,27100,900,0,8200,0,600,71900
2016,800,100,4100,4400,4700,2000,28100,14900,17400,54800,2100,1100,1200,27500,600,0,7400,0,0,74000
2017,600,200,4000,4200,5200,2100,27500,14300,17700,55200,1700,1000,1300,27400,700,0,7100,0,0,73700
2018,600,200,3900,4000,4200,1800,24900,14400,17400,52000,1900,1000,1300,25600,500,0,7200,0,0,70400
2019,700,200,4000,3300,3500,2000,22200,12500,17400,50700,1600,1000,900,24800,800,0,5900,0,500,66600
